dayoffset,TransDate,CropCode,CropName,MarketCode,MarketName,Upper_Price,Middle_Price,Lower_Price,Avg_Price,Trans_Quantity,year,month,day
1,105.01.01,LA1,甘藍-初秋,260,宜蘭市,10.0,8.0,5.0,7.0,28500.0,2016,1,1
2,105.01.02,LA1,甘藍-初秋,260,宜蘭市,10.0,8.0,5.0,7.0,30500.0,2016,1,2
3,105.01.03,LA1,甘藍-初秋,260,宜蘭市,10.0,8.0,5.0,7.0,31600.0,2016,1,3
5,105.01.05,LA1,甘藍-初秋,260,宜蘭市,10.0,8.0,5.0,7.0,33500.0,2016,1,5
6,105.01.06,LA1,甘藍-初秋,260,宜蘭市,10.0,8.0,5.0,7.0,31900.0,2016,1,6
7,105.01.07,LA1,甘藍-初秋,260,宜蘭市,10.0,8.0,5.0,7.0,30500.0,2016,1,7
8,105.01.08,LA1,甘藍-初秋,260,宜蘭市,10.0,8.0,5.0,8.0,31680.0,2016,1,8
9,105.01.09,LA1,甘藍-初秋,260,宜蘭市,10.0,8.0,5.0,8.0,36580.0,2016,1,9
10,105.01.10,LA1,甘藍-初秋,260,宜蘭市,10.0,8.0,5.0,8.0,34520.0,2016,1,10
12,105.01.12,LA1,甘藍-初秋,260,宜蘭市,10.0,8.0,5.0,8.0,36580.0,2016,1,12
13,105.01.13,LA1,甘藍-初秋,260,宜蘭市,10.0,8.0,5.0,8.0,35550.0,2016,1,13
14,105.01.14,LA1,甘藍-初秋,260,宜蘭市,10.0,8.0,5.0,8.0,36300.0,2016,1,14
15,105.01.15,LA1,甘藍-初秋,260,宜蘭市,8.0,6.0,5.0,7.0,34560.0,2016,1,15
16,105.01.16,LA1,甘藍-初秋,260,宜蘭市,9.0,7.0,5.0,7.0,38200.0,2016,1,16
17,105.01.17,LA1,甘藍-初秋,260,宜蘭市,10.0,7.0,5.0,7.0,36300.0,2016,1,17
19,105.01.19,LA1,甘藍-初秋,260,宜蘭市,10.0,7.0,5.0,8.0,36800.0,2016,1,19
20,105.01.20,LA1,甘藍-初秋,260,宜蘭市,10.0,7.0,4.0,5.0,35630.0,2016,1,20
21,105.01.21,LA1,甘藍-初秋,260,宜蘭市,10.0,7.0,4.0,5.0,35230.0,2016,1,21
22,105.01.22,LA1,甘藍-初秋,260,宜蘭市,10.0,7.0,4.0,5.0,36500.0,2016,1,22
23,105.01.23,LA1,甘藍-初秋,260,宜蘭市,15.0,10.0,6.0,9.0,34250.0,2016,1,23
24,105.01.24,LA1,甘藍-初秋,260,宜蘭市,15.0,10.0,6.0,10.0,35000.0,2016,1,24
26,105.01.26,LA1,甘藍-初秋,260,宜蘭市,22.0,18.0,12.0,18.0,29650.0,2016,1,26
27,105.01.27,LA1,甘藍-初秋,260,宜蘭市,18.0,15.0,6.0,13.0,28800.0,2016,1,27
28,105.01.28,LA1,甘藍-初秋,260,宜蘭市,16.0,10.0,6.0,12.0,27560.0,2016,1,28
29,105.01.29,LA1,甘藍-初秋,260,宜蘭市,14.0,12.0,6.0,10.0,26500.0,2016,1,29
30,105.01.30,LA1,甘藍-初秋,260,宜蘭市,15.0,12.0,6.0,12.0,25800.0,2016,1,30
31,105.01.31,LA1,甘藍-初秋,260,宜蘭市,17.0,15.0,6.0,13.5,24800.0,2016,1,31
